  Measurement Number     Measurement type
                 135                DC IV

      Measurement ID             SeriesID
       739603.498690                    0

         MeasureMode                Bias1                Bias2
                   2                 -3.5                  2.5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1             1.25e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -3.6870e-11   -0.0000e+00
-1.0000e-01   -7.9605e-09   1.2562e+07
-2.0000e-01   -1.9195e-08   1.0419e+07
-3.0000e-01   -3.5135e-08   8.5384e+06
-4.0000e-01   -5.7010e-08   7.0163e+06
-5.0000e-01   -8.4367e-08   5.9265e+06
-6.0000e-01   -1.1916e-07   5.0352e+06
-7.0000e-01   -1.6156e-07   4.3328e+06
-8.0000e-01   -2.1424e-07   3.7341e+06
-9.0000e-01   -2.7602e-07   3.2606e+06
-1.0000e+00   -3.4662e-07   2.8850e+06
-1.1000e+00   -4.2850e-07   2.5671e+06
-1.2000e+00   -5.2364e-07   2.2917e+06
-1.3000e+00   -6.5600e-07   1.9817e+06
-1.4000e+00   -8.2312e-07   1.7008e+06
-1.5000e+00   -8.0778e-07   1.8569e+06
-1.6000e+00   -9.5040e-07   1.6835e+06
-1.7000e+00   -1.1417e-06   1.4890e+06
-1.8000e+00   -1.3067e-06   1.3775e+06
-1.9000e+00   -1.5099e-06   1.2584e+06
-2.0000e+00   -1.6649e-06   1.2013e+06
-2.1000e+00   -1.9635e-06   1.0695e+06
-2.2000e+00   -2.2401e-06   9.8210e+05
-2.3000e+00   -2.4973e-06   9.2099e+05
-2.4000e+00   -2.6795e-06   8.9569e+05
-2.5000e+00   -3.0639e-06   8.1595e+05
-2.6000e+00   -3.4744e-06   7.4833e+05
-2.7000e+00   -4.0203e-06   6.7159e+05
-2.8000e+00   -4.3742e-06   6.4012e+05
-2.9000e+00   -5.0922e-06   5.6950e+05
-3.0000e+00   -5.6571e-06   5.3031e+05
-3.1000e+00   -6.3426e-06   4.8876e+05
-3.2000e+00   -7.6166e-06   4.2013e+05
-3.3000e+00   -8.4436e-06   3.9083e+05
-3.4000e+00   -9.6284e-06   3.5312e+05
-3.5000e+00   -1.0793e-05   3.2428e+05
-3.5000e+00   -1.0869e-05   3.2202e+05
-3.4000e+00   -9.5968e-06   3.5428e+05
