  Measurement Number     Measurement type
                 248                DC IV

      Measurement ID             SeriesID
       739603.571183                   28

         MeasureMode                Bias1                Bias2
                   2                   -1                  2.5

                Step  Positive compliance  Negative compliance
                0.05                  0.1               0.0001

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   -1.4499e-10   -0.0000e+00
-5.0000e-02   -5.8772e-10   8.5075e+07
-1.0000e-01   -1.0612e-09   9.4233e+07
-1.5000e-01   -1.6604e-09   9.0340e+07
-2.0000e-01   -2.3903e-09   8.3672e+07
-2.5000e-01   -3.2152e-09   7.7756e+07
-3.0000e-01   -4.1397e-09   7.2469e+07
-3.5000e-01   -5.0267e-09   6.9628e+07
-4.0000e-01   -6.2323e-09   6.4182e+07
-4.5000e-01   -7.5700e-09   5.9445e+07
-5.0000e-01   -8.9469e-09   5.5885e+07
-5.5000e-01   -1.0489e-08   5.2437e+07
-6.0000e-01   -1.2442e-08   4.8225e+07
-6.5000e-01   -1.9714e-07   3.2971e+06
-7.0000e-01   -7.6524e-07   9.1475e+05
-7.5000e-01   -3.4504e-06   2.1737e+05
-8.0000e-01   -4.0947e-06   1.9537e+05
-8.5000e-01   -5.0990e-06   1.6670e+05
-9.0000e-01   -5.7384e-06   1.5684e+05
-9.5000e-01   -5.8710e-06   1.6181e+05
-1.0000e+00   -6.1277e-06   1.6319e+05
-1.0000e+00   -6.1693e-06   1.6209e+05
-9.5000e-01   -5.7146e-06   1.6624e+05
-9.0000e-01   -5.0455e-06   1.7838e+05
-8.5000e-01   -4.5461e-06   1.8697e+05
-8.0000e-01   -4.2245e-06   1.8937e+05
-7.5000e-01   -4.1970e-06   1.7870e+05
-7.0000e-01   -3.7874e-06   1.8482e+05
-6.5000e-01   -3.5447e-06   1.8337e+05
-6.0000e-01   -3.1645e-06   1.8960e+05
-5.5000e-01   -2.9244e-06   1.8807e+05
-5.0000e-01   -2.6784e-06   1.8668e+05
-4.5000e-01   -2.2741e-06   1.9788e+05
-4.0000e-01   -1.9526e-06   2.0486e+05
-3.5000e-01   -1.7497e-06   2.0003e+05
-3.0000e-01   -1.4810e-06   2.0257e+05
-2.5000e-01   -1.0786e-06   2.3178e+05
-2.0000e-01   -1.4424e-07   1.3866e+06
-1.5000e-01   -2.7620e-08   5.4308e+06
-1.0000e-01   -8.9812e-10   1.1134e+08
-5.0000e-02   -3.9572e-10   1.2635e+08
0.0000e+00   4.6510e-11   0.0000e+00
0.0000e+00   -2.4310e-11   -0.0000e+00
5.0000e-02   4.7278e-10   1.0576e+08
1.0000e-01   1.0241e-09   9.7647e+07
1.5000e-01   1.6763e-09   8.9483e+07
2.0000e-01   2.4153e-09   8.2805e+07
2.5000e-01   3.2890e-09   7.6011e+07
3.0000e-01   4.2052e-09   7.1340e+07
3.5000e-01   5.2767e-09   6.6329e+07
4.0000e-01   6.4482e-09   6.2033e+07
4.5000e-01   7.7572e-09   5.8011e+07
5.0000e-01   9.4532e-09   5.2892e+07
5.5000e-01   1.0569e-08   5.2038e+07
6.0000e-01   1.2758e-08   4.7029e+07
6.5000e-01   1.4775e-08   4.3993e+07
7.0000e-01   1.7114e-08   4.0903e+07
7.5000e-01   1.9224e-08   3.9013e+07
8.0000e-01   2.2660e-08   3.5305e+07
8.5000e-01   2.5714e-08   3.3056e+07
9.0000e-01   2.8511e-08   3.1567e+07
9.5000e-01   3.1688e-08   2.9979e+07
1.0000e+00   3.5271e-08   2.8352e+07
1.0500e+00   3.8744e-08   2.7101e+07
1.1000e+00   4.1788e-08   2.6323e+07
1.1500e+00   4.5214e-08   2.5435e+07
1.2000e+00   4.9365e-08   2.4309e+07
1.2500e+00   5.4066e-08   2.3120e+07
1.3000e+00   5.7548e-08   2.2590e+07
1.3500e+00   6.2706e-08   2.1529e+07
1.4000e+00   7.0486e-08   1.9862e+07
1.4500e+00   7.5700e-08   1.9155e+07
1.5000e+00   8.3847e-08   1.7890e+07
1.5500e+00   8.9389e-08   1.7340e+07
1.6000e+00   1.0051e-07   1.5919e+07
1.6500e+00   1.0301e-07   1.6017e+07
1.7000e+00   1.1373e-07   1.4948e+07
1.7500e+00   1.2278e-07   1.4253e+07
1.8000e+00   1.3744e-07   1.3097e+07
1.8500e+00   1.4826e-07   1.2478e+07
1.9000e+00   1.6854e-07   1.1273e+07
1.9500e+00   2.2314e-07   8.7389e+06
2.0000e+00   1.8092e-07   1.1055e+07
2.0500e+00   2.2436e-07   9.1371e+06
2.1000e+00   2.6008e-07   8.0744e+06
2.1500e+00   3.4368e-07   6.2558e+06
2.2000e+00   4.7594e-07   4.6224e+06
2.2500e+00   2.4776e-07   9.0814e+06
2.3000e+00   2.4350e-07   9.4456e+06
2.3500e+00   2.5888e-07   9.0776e+06
2.4000e+00   2.7010e-07   8.8856e+06
2.4500e+00   2.9280e-07   8.3675e+06
2.5000e+00   3.0766e-07   8.1259e+06
2.5000e+00   3.0804e-07   8.1158e+06
2.4500e+00   2.9752e-07   8.2347e+06
2.4000e+00   2.7436e-07   8.7476e+06
2.3500e+00   2.6010e-07   9.0350e+06
2.3000e+00   2.3660e-07   9.7210e+06
2.2500e+00   2.2154e-07   1.0156e+07
2.2000e+00   2.0756e-07   1.0599e+07
2.1500e+00   1.9336e-07   1.1119e+07
2.1000e+00   1.7988e-07   1.1674e+07
2.0500e+00   1.6662e-07   1.2303e+07
2.0000e+00   1.5828e-07   1.2636e+07
1.9500e+00   1.4634e-07   1.3325e+07
1.9000e+00   1.4036e-07   1.3537e+07
1.8500e+00   1.2870e-07   1.4375e+07
1.8000e+00   1.2136e-07   1.4832e+07
1.7500e+00   1.1168e-07   1.5670e+07
1.7000e+00   1.0536e-07   1.6135e+07
1.6500e+00   9.5982e-08   1.7191e+07
1.6000e+00   8.7986e-08   1.8185e+07
1.5500e+00   8.2228e-08   1.8850e+07
1.5000e+00   7.9406e-08   1.8890e+07
1.4500e+00   7.4109e-08   1.9566e+07
1.4000e+00   6.7569e-08   2.0720e+07
1.3500e+00   6.2062e-08   2.1753e+07
1.3000e+00   5.7093e-08   2.2770e+07
1.2500e+00   5.2177e-08   2.3957e+07
1.2000e+00   4.7601e-08   2.5209e+07
1.1500e+00   4.3343e-08   2.6532e+07
1.1000e+00   3.9254e-08   2.8022e+07
1.0500e+00   3.4550e-08   3.0390e+07
1.0000e+00   3.1812e-08   3.1435e+07
9.5000e-01   2.7699e-08   3.4297e+07
9.0000e-01   2.5776e-08   3.4916e+07
8.5000e-01   2.1698e-08   3.9174e+07
8.0000e-01   2.0350e-08   3.9312e+07
7.5000e-01   1.7881e-08   4.1943e+07
7.0000e-01   1.5665e-08   4.4686e+07
6.5000e-01   1.3586e-08   4.7844e+07
6.0000e-01   1.2175e-08   4.9283e+07
5.5000e-01   1.0651e-08   5.1637e+07
5.0000e-01   8.3102e-09   6.0167e+07
4.5000e-01   7.1373e-09   6.3049e+07
4.0000e-01   5.8376e-09   6.8521e+07
3.5000e-01   4.8702e-09   7.1866e+07
3.0000e-01   4.4490e-09   6.7431e+07
2.5000e-01   3.3353e-09   7.4956e+07
2.0000e-01   2.3855e-09   8.3840e+07
1.5000e-01   1.3011e-09   1.1529e+08
1.0000e-01   5.6981e-10   1.7550e+08
5.0000e-02   -5.0600e-11   -9.8814e+08
0.0000e+00   -6.6054e-10   -0.0000e+00
