  Measurement Number     Measurement type
                  28                DC IV

      Measurement ID             SeriesID
       739603.492464                   92

         MeasureMode                Bias1                Bias2
                   2                   -3                  2.5

                Step  Positive compliance  Negative compliance
                0.05                  0.1                5e-05

  RealMeasuredPoints
                 224

        Bias        Current     Resistance
0.0000e+00   -4.3600e-11   -0.0000e+00
-5.0000e-02   -6.6060e-09   7.5689e+06
-1.0000e-01   -1.4724e-08   6.7916e+06
-1.5000e-01   -2.5637e-08   5.8510e+06
-2.0000e-01   -4.0163e-08   4.9797e+06
-2.5000e-01   -5.9178e-08   4.2246e+06
-3.0000e-01   -8.3804e-08   3.5798e+06
-3.5000e-01   -1.1131e-07   3.1443e+06
-4.0000e-01   -1.4302e-07   2.7968e+06
-4.5000e-01   -1.7968e-07   2.5045e+06
-5.0000e-01   -2.2518e-07   2.2204e+06
-5.5000e-01   -2.7270e-07   2.0169e+06
-6.0000e-01   -3.2492e-07   1.8466e+06
-6.5000e-01   -3.8894e-07   1.6712e+06
-7.0000e-01   -4.5708e-07   1.5315e+06
-7.5000e-01   -5.3388e-07   1.4048e+06
-8.0000e-01   -6.1340e-07   1.3042e+06
-8.5000e-01   -6.8590e-07   1.2392e+06
-9.0000e-01   -7.8992e-07   1.1394e+06
-9.5000e-01   -8.9774e-07   1.0582e+06
-1.0000e+00   -1.0159e-06   9.8435e+05
-1.0500e+00   -1.1299e-06   9.2930e+05
-1.1000e+00   -1.2353e-06   8.9047e+05
-1.1500e+00   -1.3653e-06   8.4231e+05
-1.2000e+00   -1.5387e-06   7.7988e+05
-1.2500e+00   -1.6344e-06   7.6481e+05
-1.3000e+00   -1.7427e-06   7.4597e+05
-1.3500e+00   -1.9880e-06   6.7907e+05
-1.4000e+00   -2.1363e-06   6.5534e+05
-1.4500e+00   -2.2881e-06   6.3371e+05
-1.5000e+00   -2.5895e-06   5.7926e+05
-1.5500e+00   -2.6798e-06   5.7840e+05
-1.6000e+00   -2.9289e-06   5.4628e+05
-1.6500e+00   -3.1856e-06   5.1796e+05
-1.7000e+00   -3.4067e-06   4.9902e+05
-1.7500e+00   -3.5142e-06   4.9798e+05
-1.8000e+00   -3.7580e-06   4.7898e+05
