  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739603.511062                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                  2.5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 114

        Bias        Current     Resistance
0.0000e+00   5.7000e-13   0.0000e+00
-1.0000e-01   8.3100e-12   -1.2034e+10
-2.0000e-01   -6.0300e-12   3.3167e+10
-3.0000e-01   -7.5000e-13   4.0000e+11
-4.0000e-01   6.4600e-12   -6.1920e+10
-5.0000e-01   2.9000e-13   -1.7241e+12
-6.0000e-01   9.4700e-12   -6.3358e+10
-7.0000e-01   -6.2600e-12   1.1182e+11
-8.0000e-01   7.8000e-13   -1.0256e+12
-9.0000e-01   7.6200e-12   -1.1811e+11
-1.0000e+00   -7.6000e-13   1.3158e+12
-1.1000e+00   9.0800e-12   -1.2115e+11
-1.2000e+00   -6.7600e-12   1.7751e+11
-1.3000e+00   -3.8800e-12   3.3505e+11
-1.4000e+00   6.2300e-12   -2.2472e+11
-1.5000e+00   3.5000e-13   -4.2857e+12
-1.6000e+00   7.9500e-12   -2.0126e+11
-1.7000e+00   -1.9100e-12   8.9005e+11
-1.8000e+00   -9.0000e-12   2.0000e+11
-1.9000e+00   -3.5100e-12   5.4131e+11
-2.0000e+00   -1.0410e-11   1.9212e+11
-2.1000e+00   8.7900e-12   -2.3891e+11
-2.2000e+00   -1.0700e-12   2.0561e+12
-2.3000e+00   -6.0800e-12   3.7829e+11
-2.4000e+00   7.2800e-12   -3.2967e+11
-2.5000e+00   -4.2700e-12   5.8548e+11
-2.6000e+00   6.5100e-12   -3.9939e+11
-2.7000e+00   -3.5400e-12   7.6271e+11
-2.8000e+00   -5.4200e-12   5.1661e+11
-2.9000e+00   8.9400e-12   -3.2438e+11
-3.0000e+00   -2.9700e-12   1.0101e+12
-3.0000e+00   -8.8400e-12   3.3937e+11
-2.9000e+00   -4.5500e-12   6.3736e+11
-2.8000e+00   9.8500e-12   -2.8426e+11
-2.7000e+00   -7.9300e-12   3.4048e+11
-2.6000e+00   9.2800e-12   -2.8017e+11
-2.5000e+00   -1.5700e-12   1.5924e+12
