  Measurement Number     Measurement type
                  32                DC IV

      Measurement ID             SeriesID
       739603.521605                    0

         MeasureMode                Bias1                Bias2
                   2                 -3.5                  2.5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -4.8800e-12   -0.0000e+00
-1.0000e-01   -1.0700e-09   9.3458e+07
-2.0000e-01   -2.7943e-09   7.1574e+07
-3.0000e-01   -5.5014e-09   5.4532e+07
-4.0000e-01   -9.3773e-09   4.2656e+07
-5.0000e-01   -1.4411e-08   3.4696e+07
-6.0000e-01   -2.1262e-08   2.8220e+07
-7.0000e-01   -2.9736e-08   2.3540e+07
-8.0000e-01   -4.0403e-08   1.9800e+07
-9.0000e-01   -5.3591e-08   1.6794e+07
-1.0000e+00   -6.8744e-08   1.4547e+07
-1.1000e+00   -8.6808e-08   1.2672e+07
-1.2000e+00   -1.0980e-07   1.0929e+07
-1.3000e+00   -1.3110e-07   9.9161e+06
-1.4000e+00   -1.5782e-07   8.8709e+06
-1.5000e+00   -1.9032e-07   7.8815e+06
-1.6000e+00   -2.2066e-07   7.2510e+06
-1.7000e+00   -2.5684e-07   6.6189e+06
-1.8000e+00   -2.9636e-07   6.0737e+06
-1.9000e+00   -3.3734e-07   5.6323e+06
-2.0000e+00   -3.8488e-07   5.1964e+06
-2.1000e+00   -4.4154e-07   4.7561e+06
-2.2000e+00   -4.9858e-07   4.4125e+06
-2.3000e+00   -5.5606e-07   4.1362e+06
-2.4000e+00   -6.1614e-07   3.8952e+06
-2.5000e+00   -6.8058e-07   3.6733e+06
-2.6000e+00   -7.2612e-07   3.5807e+06
-2.7000e+00   -8.0680e-07   3.3466e+06
-2.8000e+00   -9.2536e-07   3.0258e+06
-2.9000e+00   -1.0034e-06   2.8901e+06
-3.0000e+00   -1.0977e-06   2.7329e+06
-3.1000e+00   -1.1914e-06   2.6020e+06
-3.2000e+00   -1.2860e-06   2.4883e+06
-3.3000e+00   -1.3774e-06   2.3958e+06
-3.4000e+00   -1.5098e-06   2.2520e+06
-3.5000e+00   -1.6158e-06   2.1661e+06
-3.5000e+00   -1.6095e-06   2.1746e+06
-3.4000e+00   -1.5127e-06   2.2476e+06
