  Measurement Number     Measurement type
                  35                DC IV

      Measurement ID             SeriesID
       739603.481419                    0

         MeasureMode                Bias1                Bias2
                   2                 -3.5                    3

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                 264

        Bias        Current     Resistance
0.0000e+00   -7.7600e-12   -0.0000e+00
-5.0000e-02   -2.7448e-09   1.8216e+07
-1.0000e-01   -5.8734e-09   1.7026e+07
-1.5000e-01   -9.9248e-09   1.5114e+07
-2.0000e-01   -1.4811e-08   1.3503e+07
-2.5000e-01   -2.1055e-08   1.1874e+07
-3.0000e-01   -2.6796e-08   1.1196e+07
-3.5000e-01   -3.3886e-08   1.0329e+07
-4.0000e-01   -4.2282e-08   9.4603e+06
-4.5000e-01   -5.1082e-08   8.8093e+06
-5.0000e-01   -6.1072e-08   8.1871e+06
-5.5000e-01   -7.2244e-08   7.6131e+06
-6.0000e-01   -8.4431e-08   7.1064e+06
-6.5000e-01   -9.8850e-08   6.5756e+06
-7.0000e-01   -1.1442e-07   6.1178e+06
-7.5000e-01   -1.3376e-07   5.6071e+06
-8.0000e-01   -1.5274e-07   5.2377e+06
-8.5000e-01   -1.7106e-07   4.9690e+06
-9.0000e-01   -1.8376e-07   4.8977e+06
-9.5000e-01   -2.1012e-07   4.5212e+06
-1.0000e+00   -2.3322e-07   4.2878e+06
-1.0500e+00   -2.6350e-07   3.9848e+06
-1.1000e+00   -2.8924e-07   3.8031e+06
-1.1500e+00   -3.1874e-07   3.6080e+06
-1.2000e+00   -3.5320e-07   3.3975e+06
-1.2500e+00   -3.9134e-07   3.1942e+06
-1.3000e+00   -4.3396e-07   2.9957e+06
-1.3500e+00   -4.7128e-07   2.8645e+06
-1.4000e+00   -5.1358e-07   2.7260e+06
-1.4500e+00   -5.7504e-07   2.5216e+06
-1.5000e+00   -6.1920e-07   2.4225e+06
-1.5500e+00   -6.7336e-07   2.3019e+06
-1.6000e+00   -7.6470e-07   2.0923e+06
-1.6500e+00   -8.6132e-07   1.9157e+06
-1.7000e+00   -9.4078e-07   1.8070e+06
-1.7500e+00   -1.0025e-06   1.7457e+06
-1.8000e+00   -1.0547e-06   1.7066e+06
-1.8500e+00   -1.1429e-06   1.6186e+06
-1.9000e+00   -1.2729e-06   1.4927e+06
-1.9500e+00   -1.6074e-06   1.2131e+06
-2.0000e+00   -1.7251e-06   1.1594e+06
-2.0500e+00   -1.8411e-06   1.1135e+06
-2.1000e+00   -1.9809e-06   1.0601e+06
-2.1500e+00   -1.8466e-06   1.1643e+06
-2.2000e+00   -1.9898e-06   1.1056e+06
-2.2500e+00   -2.1723e-06   1.0358e+06
-2.3000e+00   -2.1906e-06   1.0499e+06
-2.3500e+00   -2.3102e-06   1.0172e+06
-2.4000e+00   -2.4392e-06   9.8393e+05
-2.4500e+00   -2.5977e-06   9.4314e+05
-2.5000e+00   -2.6887e-06   9.2982e+05
-2.5500e+00   -3.0402e-06   8.3876e+05
-2.6000e+00   -3.2179e-06   8.0798e+05
-2.6500e+00   -3.5661e-06   7.4311e+05
-2.7000e+00   -3.7583e-06   7.1841e+05
-2.7500e+00   -4.0339e-06   6.8172e+05
-2.8000e+00   -4.3746e-06   6.4006e+05
-2.8500e+00   -4.6403e-06   6.1418e+05
-2.9000e+00   -4.9785e-06   5.8250e+05
-2.9500e+00   -5.4243e-06   5.4385e+05
-3.0000e+00   -5.7706e-06   5.1988e+05
-3.0500e+00   -9.4740e-04   3.2193e+03
-3.1000e+00   -1.0003e-03   3.0989e+03
-3.1500e+00   -9.9998e-04   3.1501e+03
-3.2000e+00   -1.0000e-03   3.2000e+03
-3.2500e+00   -9.9992e-04   3.2503e+03
-3.3000e+00   -1.0001e-03   3.2998e+03
-3.3500e+00   -9.9996e-04   3.3501e+03
-3.4000e+00   -1.0001e-03   3.3997e+03
-3.4500e+00   -1.0000e-03   3.4500e+03
-3.5000e+00   -1.0000e-03   3.5000e+03
-3.5000e+00   -1.0000e-03   3.4999e+03
-3.4500e+00   -9.9992e-04   3.4503e+03
-3.4000e+00   -9.9996e-04   3.4001e+03
-3.3500e+00   -1.0001e-03   3.3497e+03
-3.3000e+00   -1.0000e-03   3.3000e+03
