  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739603.477507                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                2e-06                2e-06

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   6.1960e-11   0.0000e+00
-5.0000e-02   -1.5377e-08   3.2517e+06
-1.0000e-01   -3.3755e-08   2.9625e+06
-1.5000e-01   -5.6840e-08   2.6390e+06
-2.0000e-01   -8.3936e-08   2.3828e+06
-2.5000e-01   -1.1726e-07   2.1320e+06
-3.0000e-01   -1.4778e-07   2.0300e+06
-3.5000e-01   -1.6032e-07   2.1831e+06
-4.0000e-01   -1.7480e-07   2.2883e+06
-4.5000e-01   -2.0874e-07   2.1558e+06
-5.0000e-01   -2.8328e-07   1.7650e+06
-5.5000e-01   -2.0684e-07   2.6591e+06
-6.0000e-01   -2.7292e-07   2.1984e+06
-6.5000e-01   -2.1206e-07   3.0652e+06
-7.0000e-01   -2.5090e-07   2.7900e+06
-7.5000e-01   -2.9044e-07   2.5823e+06
-8.0000e-01   -3.3692e-07   2.3745e+06
-8.5000e-01   -3.7594e-07   2.2610e+06
-9.0000e-01   -4.3880e-07   2.0510e+06
-9.5000e-01   -5.0214e-07   1.8919e+06
-1.0000e+00   -7.3202e-07   1.3661e+06
-1.0500e+00   -6.3696e-07   1.6485e+06
-1.1000e+00   -6.8780e-07   1.5993e+06
-1.1500e+00   -7.7006e-07   1.4934e+06
-1.2000e+00   -8.5094e-07   1.4102e+06
-1.2500e+00   -9.3626e-07   1.3351e+06
-1.3000e+00   -1.0281e-06   1.2644e+06
-1.3500e+00   -1.0823e-06   1.2473e+06
-1.4000e+00   -1.2198e-06   1.1477e+06
-1.4500e+00   -1.3491e-06   1.0748e+06
-1.5000e+00   -1.4888e-06   1.0075e+06
-1.5500e+00   -1.6275e-06   9.5238e+05
-1.6000e+00   -2.0000e-06   8.0000e+05
-1.6500e+00   -2.0002e-06   8.2492e+05
-1.7000e+00   -2.0001e-06   8.4996e+05
-1.7500e+00   -2.0001e-06   8.7496e+05
-1.8000e+00   -2.0002e-06   8.9991e+05
-1.8500e+00   -2.0002e-06   9.2491e+05
-1.9000e+00   -2.0002e-06   9.4991e+05
-1.9500e+00   -2.0002e-06   9.7490e+05
-2.0000e+00   -2.0002e-06   9.9990e+05
-2.0500e+00   -2.0002e-06   1.0249e+06
-2.1000e+00   -2.0001e-06   1.0499e+06
-2.1500e+00   -2.0002e-06   1.0749e+06
-2.2000e+00   -2.0002e-06   1.0999e+06
-2.2500e+00   -2.0001e-06   1.1249e+06
-2.3000e+00   -2.0002e-06   1.1499e+06
-2.3500e+00   -2.0000e-06   1.1750e+06
-2.4000e+00   -2.0002e-06   1.1999e+06
-2.4500e+00   -2.0001e-06   1.2249e+06
-2.5000e+00   -2.0000e-06   1.2500e+06
-2.5500e+00   -2.0001e-06   1.2749e+06
-2.6000e+00   -2.0001e-06   1.2999e+06
-2.6500e+00   -2.0000e-06   1.3250e+06
-2.7000e+00   -2.0001e-06   1.3499e+06
-2.7500e+00   -2.0001e-06   1.3749e+06
-2.8000e+00   -2.0002e-06   1.3999e+06
-2.8500e+00   -2.0002e-06   1.4249e+06
-2.9000e+00   -2.0001e-06   1.4499e+06
-2.9500e+00   -2.0002e-06   1.4749e+06
-3.0000e+00   -2.0001e-06   1.4999e+06
-3.0000e+00   -2.0002e-06   1.4999e+06
-2.9500e+00   -2.0000e-06   1.4750e+06
-2.9000e+00   -2.0002e-06   1.4499e+06
-2.8500e+00   -2.0002e-06   1.4249e+06
-2.8000e+00   -2.0000e-06   1.4000e+06
-2.7500e+00   -2.0002e-06   1.3749e+06
-2.7000e+00   -2.0002e-06   1.3499e+06
-2.6500e+00   -2.0002e-06   1.3249e+06
-2.6000e+00   -2.0000e-06   1.3000e+06
-2.5500e+00   -2.0000e-06   1.2750e+06
-2.5000e+00   -2.0001e-06   1.2499e+06
-2.4500e+00   -2.0001e-06   1.2249e+06
-2.4000e+00   -2.0001e-06   1.1999e+06
-2.3500e+00   -2.0002e-06   1.1749e+06
-2.3000e+00   -2.0002e-06   1.1499e+06
-2.2500e+00   -2.0000e-06   1.1250e+06
-2.2000e+00   -2.0002e-06   1.0999e+06
-2.1500e+00   -2.0001e-06   1.0749e+06
-2.1000e+00   -2.0002e-06   1.0499e+06
-2.0500e+00   -2.0002e-06   1.0249e+06
-2.0000e+00   -2.0003e-06   9.9985e+05
-1.9500e+00   -2.0000e-06   9.7500e+05
-1.9000e+00   -2.0000e-06   9.5000e+05
-1.8500e+00   -2.0000e-06   9.2500e+05
-1.8000e+00   -2.0002e-06   8.9991e+05
-1.7500e+00   -2.0002e-06   8.7491e+05
-1.7000e+00   -2.0003e-06   8.4987e+05
