  Measurement Number     Measurement type
                  34                DC IV

      Measurement ID             SeriesID
       739603.475551                    0

         MeasureMode                Bias1                Bias2
                   2                   -2                    2

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.0177e-08   0.0000e+00
-1.0000e-01   -5.9097e-06   1.6921e+04
-2.0000e-01   -1.1828e-05   1.6909e+04
-3.0000e-01   -1.7752e-05   1.6900e+04
-4.0000e-01   -2.3694e-05   1.6882e+04
-5.0000e-01   -2.9642e-05   1.6868e+04
-6.0000e-01   -3.5614e-05   1.6847e+04
-7.0000e-01   -4.1580e-05   1.6835e+04
-8.0000e-01   -4.7596e-05   1.6808e+04
-9.0000e-01   -5.3636e-05   1.6780e+04
-1.0000e+00   -5.9678e-05   1.6757e+04
-1.1000e+00   -6.5730e-05   1.6735e+04
-1.2000e+00   -7.1812e-05   1.6710e+04
-1.3000e+00   -7.7928e-05   1.6682e+04
-1.4000e+00   -8.4052e-05   1.6656e+04
-1.5000e+00   -9.0196e-05   1.6630e+04
-1.6000e+00   -9.6362e-05   1.6604e+04
-1.7000e+00   -1.0252e-04   1.6582e+04
-1.8000e+00   -1.0874e-04   1.6553e+04
-1.9000e+00   -1.1480e-04   1.6551e+04
-2.0000e+00   -1.2104e-04   1.6523e+04
-2.0000e+00   -1.2104e-04   1.6523e+04
-1.9000e+00   -1.1478e-04   1.6553e+04
-1.8000e+00   -1.0856e-04   1.6581e+04
-1.7000e+00   -1.0232e-04   1.6615e+04
-1.6000e+00   -9.6336e-05   1.6609e+04
-1.5000e+00   -9.0182e-05   1.6633e+04
-1.4000e+00   -8.4028e-05   1.6661e+04
-1.3000e+00   -7.7908e-05   1.6686e+04
-1.2000e+00   -7.1810e-05   1.6711e+04
-1.1000e+00   -6.5736e-05   1.6734e+04
-1.0000e+00   -5.9656e-05   1.6763e+04
-9.0000e-01   -5.3618e-05   1.6785e+04
-8.0000e-01   -4.7600e-05   1.6807e+04
-7.0000e-01   -4.1604e-05   1.6825e+04
-6.0000e-01   -3.5608e-05   1.6850e+04
-5.0000e-01   -2.9636e-05   1.6871e+04
-4.0000e-01   -2.3690e-05   1.6885e+04
-3.0000e-01   -1.7754e-05   1.6898e+04
-2.0000e-01   -1.1824e-05   1.6915e+04
-1.0000e-01   -5.9057e-06   1.6933e+04
0.0000e+00   7.3946e-09   0.0000e+00
0.0000e+00   1.0427e-08   0.0000e+00
1.0000e-01   5.9219e-06   1.6886e+04
2.0000e-01   1.1850e-05   1.6878e+04
3.0000e-01   1.7794e-05   1.6860e+04
4.0000e-01   2.3746e-05   1.6845e+04
5.0000e-01   2.9720e-05   1.6824e+04
6.0000e-01   3.5704e-05   1.6805e+04
7.0000e-01   4.1720e-05   1.6779e+04
8.0000e-01   4.7750e-05   1.6754e+04
9.0000e-01   5.3794e-05   1.6730e+04
1.0000e+00   5.9864e-05   1.6705e+04
1.1000e+00   6.5964e-05   1.6676e+04
1.2000e+00   7.2068e-05   1.6651e+04
1.3000e+00   7.8174e-05   1.6630e+04
1.4000e+00   8.4336e-05   1.6600e+04
1.5000e+00   9.0496e-05   1.6575e+04
1.6000e+00   9.6674e-05   1.6550e+04
1.7000e+00   1.0288e-04   1.6524e+04
1.8000e+00   1.0910e-04   1.6498e+04
1.9000e+00   1.1546e-04   1.6456e+04
2.0000e+00   1.2170e-04   1.6434e+04
2.0000e+00   1.2170e-04   1.6434e+04
1.9000e+00   1.1544e-04   1.6459e+04
1.8000e+00   1.0926e-04   1.6474e+04
1.7000e+00   1.0298e-04   1.6508e+04
1.6000e+00   9.6654e-05   1.6554e+04
1.5000e+00   9.0478e-05   1.6579e+04
1.4000e+00   8.4304e-05   1.6607e+04
1.3000e+00   7.8172e-05   1.6630e+04
1.2000e+00   7.2046e-05   1.6656e+04
1.1000e+00   6.5942e-05   1.6681e+04
1.0000e+00   5.9852e-05   1.6708e+04
9.0000e-01   5.3780e-05   1.6735e+04
8.0000e-01   4.7722e-05   1.6764e+04
7.0000e-01   4.1688e-05   1.6791e+04
6.0000e-01   3.5686e-05   1.6813e+04
5.0000e-01   2.9694e-05   1.6838e+04
4.0000e-01   2.3722e-05   1.6862e+04
3.0000e-01   1.7770e-05   1.6882e+04
2.0000e-01   1.1834e-05   1.6900e+04
1.0000e-01   5.9165e-06   1.6902e+04
0.0000e+00   7.8576e-09   0.0000e+00
