  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739603.470606                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1               0.0001               0.0001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   2.9320e-11   0.0000e+00
1.0000e-01   9.7960e-11   1.0208e+09
2.0000e-01   1.7075e-10   1.1713e+09
3.0000e-01   2.5808e-10   1.1624e+09
4.0000e-01   3.2616e-10   1.2264e+09
5.0000e-01   4.5272e-10   1.1044e+09
6.0000e-01   5.5379e-10   1.0834e+09
7.0000e-01   6.3400e-10   1.1041e+09
8.0000e-01   7.8385e-10   1.0206e+09
9.0000e-01   9.1683e-10   9.8164e+08
1.0000e+00   1.0938e-09   9.1424e+08
1.1000e+00   1.2688e-09   8.6696e+08
1.2000e+00   1.4803e-09   8.1065e+08
1.3000e+00   1.7313e-09   7.5088e+08
1.4000e+00   2.0130e-09   6.9548e+08
1.5000e+00   2.2791e-09   6.5815e+08
1.6000e+00   2.7252e-09   5.8711e+08
1.7000e+00   3.1545e-09   5.3891e+08
1.8000e+00   3.5594e-09   5.0570e+08
1.9000e+00   4.1203e-09   4.6113e+08
2.0000e+00   4.6531e-09   4.2982e+08
2.0000e+00   4.6906e-09   4.2638e+08
1.9000e+00   4.0108e-09   4.7372e+08
1.8000e+00   3.3309e-09   5.4039e+08
1.7000e+00   2.7667e-09   6.1445e+08
1.6000e+00   2.2390e-09   7.1460e+08
1.5000e+00   1.7679e-09   8.4846e+08
1.4000e+00   1.4369e-09   9.7432e+08
1.3000e+00   1.1377e-09   1.1427e+09
1.2000e+00   8.1796e-10   1.4671e+09
1.1000e+00   5.7369e-10   1.9174e+09
1.0000e+00   3.6803e-10   2.7172e+09
9.0000e-01   2.3311e-10   3.8608e+09
8.0000e-01   8.8620e-11   9.0273e+09
7.0000e-01   -3.6670e-11   -1.9089e+10
6.0000e-01   -1.2451e-10   -4.8189e+09
5.0000e-01   -2.3433e-10   -2.1337e+09
4.0000e-01   -3.0896e-10   -1.2947e+09
3.0000e-01   -3.8471e-10   -7.7981e+08
2.0000e-01   -4.8197e-10   -4.1496e+08
1.0000e-01   -5.4020e-10   -1.8512e+08
0.0000e+00   -6.1879e-10   -0.0000e+00
0.0000e+00   -4.0794e-10   -0.0000e+00
-1.0000e-01   -5.2426e-10   1.9075e+08
-2.0000e-01   -6.0191e-10   3.3228e+08
-3.0000e-01   -6.8678e-10   4.3682e+08
-4.0000e-01   -7.9592e-10   5.0256e+08
-5.0000e-01   -8.7120e-10   5.7392e+08
-6.0000e-01   -9.8210e-10   6.1094e+08
-7.0000e-01   -1.0992e-09   6.3683e+08
-8.0000e-01   -1.2277e-09   6.5162e+08
-9.0000e-01   -1.3626e-09   6.6050e+08
-1.0000e+00   -1.5072e-09   6.6348e+08
-1.1000e+00   -1.6641e-09   6.6102e+08
-1.2000e+00   -1.8525e-09   6.4777e+08
-1.3000e+00   -2.0880e-09   6.2261e+08
-1.4000e+00   -2.2931e-09   6.1053e+08
-1.5000e+00   -2.5878e-09   5.7964e+08
-1.6000e+00   -2.8705e-09   5.5739e+08
-1.7000e+00   -3.2915e-09   5.1648e+08
-1.8000e+00   -3.7516e-09   4.7980e+08
-1.9000e+00   -4.1922e-09   4.5322e+08
-2.0000e+00   -4.8145e-09   4.1541e+08
-2.0000e+00   -4.7326e-09   4.2260e+08
-1.9000e+00   -4.0466e-09   4.6953e+08
-1.8000e+00   -3.3406e-09   5.3883e+08
-1.7000e+00   -2.7910e-09   6.0910e+08
-1.6000e+00   -2.3464e-09   6.8190e+08
-1.5000e+00   -1.8630e-09   8.0515e+08
-1.4000e+00   -1.4504e-09   9.6525e+08
-1.3000e+00   -1.1425e-09   1.1379e+09
-1.2000e+00   -8.6757e-10   1.3832e+09
-1.1000e+00   -6.2506e-10   1.7598e+09
-1.0000e+00   -4.6457e-10   2.1525e+09
-9.0000e-01   -2.8581e-10   3.1489e+09
-8.0000e-01   -1.4714e-10   5.4370e+09
-7.0000e-01   -4.5400e-11   1.5419e+10
-6.0000e-01   6.8060e-11   -8.8158e+09
-5.0000e-01   1.4196e-10   -3.5221e+09
-4.0000e-01   2.2400e-10   -1.7857e+09
-3.0000e-01   3.1762e-10   -9.4452e+08
-2.0000e-01   3.8897e-10   -5.1418e+08
-1.0000e-01   4.6033e-10   -2.1724e+08
0.0000e+00   5.5364e-10   0.0000e+00
