  Measurement Number     Measurement type
                  16                DC IV

      Measurement ID             SeriesID
       739603.509835                    0

         MeasureMode                Bias1                Bias2
                   2                   10                  -10

                Step  Positive compliance  Negative compliance
                 0.2                 0.01                 0.01

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   4.2547e-08   0.0000e+00
2.0000e-01   7.4867e-06   2.6714e+04
4.0000e-01   1.4962e-05   2.6734e+04
6.0000e-01   2.2468e-05   2.6705e+04
8.0000e-01   3.0020e-05   2.6649e+04
1.0000e+00   3.7602e-05   2.6594e+04
1.2000e+00   4.5246e-05   2.6522e+04
1.4000e+00   5.2936e-05   2.6447e+04
1.6000e+00   6.0658e-05   2.6377e+04
1.8000e+00   6.8438e-05   2.6301e+04
2.0000e+00   7.6304e-05   2.6211e+04
2.2000e+00   8.4216e-05   2.6123e+04
2.4000e+00   9.2184e-05   2.6035e+04
2.6000e+00   1.0020e-04   2.5948e+04
2.8000e+00   1.0831e-04   2.5851e+04
3.0000e+00   1.1646e-04   2.5760e+04
3.2000e+00   1.2472e-04   2.5657e+04
3.4000e+00   1.3302e-04   2.5560e+04
3.6000e+00   1.4150e-04   2.5442e+04
3.8000e+00   1.5000e-04   2.5333e+04
4.0000e+00   1.5862e-04   2.5218e+04
4.2000e+00   1.6738e-04   2.5093e+04
4.4000e+00   1.7608e-04   2.4989e+04
4.6000e+00   1.8500e-04   2.4865e+04
4.8000e+00   1.9410e-04   2.4730e+04
5.0000e+00   2.0320e-04   2.4606e+04
5.2000e+00   2.1234e-04   2.4489e+04
5.4000e+00   2.2160e-04   2.4368e+04
5.6000e+00   2.3110e-04   2.4232e+04
5.8000e+00   2.4088e-04   2.4078e+04
6.0000e+00   2.5070e-04   2.3933e+04
6.2000e+00   2.6100e-04   2.3755e+04
6.4000e+00   2.7130e-04   2.3590e+04
6.6000e+00   2.8238e-04   2.3373e+04
6.8000e+00   2.9364e-04   2.3158e+04
7.0000e+00   3.0498e-04   2.2952e+04
7.2000e+00   3.1630e-04   2.2763e+04
7.4000e+00   3.2834e-04   2.2538e+04
7.6000e+00   3.4038e-04   2.2328e+04
7.8000e+00   3.5268e-04   2.2116e+04
8.0000e+00   3.6534e-04   2.1897e+04
8.2000e+00   3.7914e-04   2.1628e+04
8.4000e+00   3.9356e-04   2.1344e+04
8.6000e+00   4.0920e-04   2.1017e+04
8.8000e+00   4.2426e-04   2.0742e+04
9.0000e+00   4.1348e-04   2.1766e+04
9.2000e+00   4.1782e-03   2.2019e+03
9.4000e+00   4.2748e-03   2.1989e+03
9.6000e+00   4.3922e-03   2.1857e+03
9.8000e+00   4.5594e-03   2.1494e+03
1.0000e+01   4.6716e-03   2.1406e+03
1.0000e+01   4.8124e-03   2.0780e+03
9.8000e+00   4.6144e-03   2.1238e+03
9.6000e+00   4.5190e-03   2.1244e+03
9.4000e+00   4.4286e-03   2.1226e+03
