  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739603.508083                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -3

                Step  Positive compliance  Negative compliance
                 0.2                 0.01                 0.01

  RealMeasuredPoints
                  64

        Bias        Current     Resistance
0.0000e+00   1.9885e-08   0.0000e+00
2.0000e-01   1.9526e-05   1.0243e+04
4.0000e-01   3.9448e-05   1.0140e+04
6.0000e-01   6.0078e-05   9.9870e+03
8.0000e-01   8.1428e-05   9.8246e+03
1.0000e+00   1.0352e-04   9.6602e+03
1.2000e+00   1.2632e-04   9.4997e+03
1.4000e+00   1.4994e-04   9.3371e+03
1.6000e+00   1.7444e-04   9.1722e+03
1.8000e+00   1.9980e-04   9.0090e+03
2.0000e+00   2.2620e-04   8.8417e+03
2.2000e+00   2.5372e-04   8.6710e+03
2.4000e+00   2.8250e-04   8.4956e+03
2.6000e+00   3.1262e-04   8.3168e+03
2.8000e+00   3.4434e-04   8.1315e+03
3.0000e+00   3.7794e-04   7.9378e+03
3.0000e+00   3.7790e-04   7.9386e+03
2.8000e+00   3.4438e-04   8.1306e+03
2.6000e+00   3.1266e-04   8.3157e+03
2.4000e+00   2.8252e-04   8.4950e+03
2.2000e+00   2.5380e-04   8.6682e+03
2.0000e+00   2.2626e-04   8.8394e+03
1.8000e+00   1.9986e-04   9.0063e+03
1.6000e+00   1.7446e-04   9.1712e+03
1.4000e+00   1.4998e-04   9.3346e+03
1.2000e+00   1.2632e-04   9.4997e+03
1.0000e+00   1.0346e-04   9.6656e+03
8.0000e-01   8.1448e-05   9.8222e+03
6.0000e-01   6.0078e-05   9.9870e+03
4.0000e-01   3.9464e-05   1.0136e+04
2.0000e-01   1.9522e-05   1.0245e+04
0.0000e+00   1.9060e-08   0.0000e+00
0.0000e+00   1.9277e-08   0.0000e+00
-2.0000e-01   -1.9474e-05   1.0270e+04
-4.0000e-01   -3.9418e-05   1.0148e+04
-6.0000e-01   -6.0058e-05   9.9903e+03
-8.0000e-01   -8.1414e-05   9.8263e+03
-1.0000e+00   -1.0350e-04   9.6615e+03
-1.2000e+00   -1.2642e-04   9.4922e+03
-1.4000e+00   -1.5002e-04   9.3321e+03
-1.6000e+00   -1.7448e-04   9.1701e+03
-1.8000e+00   -1.9992e-04   9.0036e+03
-2.0000e+00   -2.2628e-04   8.8386e+03
-2.2000e+00   -2.5380e-04   8.6682e+03
-2.4000e+00   -2.8252e-04   8.4950e+03
-2.6000e+00   -3.1268e-04   8.3152e+03
-2.8000e+00   -3.4438e-04   8.1306e+03
-3.0000e+00   -3.7792e-04   7.9382e+03
-3.0000e+00   -3.7792e-04   7.9382e+03
-2.8000e+00   -3.4442e-04   8.1296e+03
-2.6000e+00   -3.1272e-04   8.3141e+03
-2.4000e+00   -2.8260e-04   8.4926e+03
-2.2000e+00   -2.5386e-04   8.6662e+03
-2.0000e+00   -2.2634e-04   8.8363e+03
-1.8000e+00   -1.9996e-04   9.0018e+03
-1.6000e+00   -1.7454e-04   9.1670e+03
-1.4000e+00   -1.5008e-04   9.3284e+03
-1.2000e+00   -1.2648e-04   9.4877e+03
-1.0000e+00   -1.0362e-04   9.6506e+03
-8.0000e-01   -8.1456e-05   9.8213e+03
-6.0000e-01   -6.0090e-05   9.9850e+03
-4.0000e-01   -3.9444e-05   1.0141e+04
-2.0000e-01   -1.9490e-05   1.0262e+04
0.0000e+00   2.3813e-08   0.0000e+00
