  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739603.519670                   49

         MeasureMode                Bias1                Bias2
                   2                    8                   -8

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 324

        Bias        Current     Resistance
0.0000e+00   5.9951e-09   0.0000e+00
1.0000e-01   5.7132e-07   1.7503e+05
2.0000e-01   1.1433e-06   1.7494e+05
3.0000e-01   1.7139e-06   1.7504e+05
4.0000e-01   2.2939e-06   1.7438e+05
5.0000e-01   2.8761e-06   1.7385e+05
6.0000e-01   3.4678e-06   1.7302e+05
7.0000e-01   4.0632e-06   1.7228e+05
8.0000e-01   4.6708e-06   1.7128e+05
9.0000e-01   5.2764e-06   1.7057e+05
1.0000e+00   5.8909e-06   1.6975e+05
1.1000e+00   6.5142e-06   1.6886e+05
1.2000e+00   7.1400e-06   1.6807e+05
1.3000e+00   7.7788e-06   1.6712e+05
1.4000e+00   8.4273e-06   1.6613e+05
1.5000e+00   9.0795e-06   1.6521e+05
1.6000e+00   9.7449e-06   1.6419e+05
1.7000e+00   1.0407e-05   1.6335e+05
1.8000e+00   1.1100e-05   1.6216e+05
1.9000e+00   1.1762e-05   1.6154e+05
2.0000e+00   1.2458e-05   1.6054e+05
2.1000e+00   1.3160e-05   1.5957e+05
2.2000e+00   1.3874e-05   1.5857e+05
2.3000e+00   1.4588e-05   1.5766e+05
2.4000e+00   1.5330e-05   1.5656e+05
2.5000e+00   1.6074e-05   1.5553e+05
2.6000e+00   1.6846e-05   1.5434e+05
2.7000e+00   1.7598e-05   1.5343e+05
2.8000e+00   1.8402e-05   1.5216e+05
2.9000e+00   1.9180e-05   1.5120e+05
3.0000e+00   1.9980e-05   1.5015e+05
3.1000e+00   2.0790e-05   1.4911e+05
3.2000e+00   2.1648e-05   1.4782e+05
3.3000e+00   2.2484e-05   1.4677e+05
3.4000e+00   2.3346e-05   1.4564e+05
3.5000e+00   2.4182e-05   1.4474e+05
3.6000e+00   2.5062e-05   1.4364e+05
3.7000e+00   2.5932e-05   1.4268e+05
3.8000e+00   2.6804e-05   1.4177e+05
3.9000e+00   2.7746e-05   1.4056e+05
4.0000e+00   2.8644e-05   1.3965e+05
4.1000e+00   2.9628e-05   1.3838e+05
4.2000e+00   3.0536e-05   1.3754e+05
4.3000e+00   3.1552e-05   1.3628e+05
4.4000e+00   3.2526e-05   1.3528e+05
4.5000e+00   3.3572e-05   1.3404e+05
4.6000e+00   3.4622e-05   1.3286e+05
4.7000e+00   3.5650e-05   1.3184e+05
4.8000e+00   3.6674e-05   1.3088e+05
4.9000e+00   3.7856e-05   1.2944e+05
5.0000e+00   3.8984e-05   1.2826e+05
5.1000e+00   4.0138e-05   1.2706e+05
5.2000e+00   4.1324e-05   1.2583e+05
5.3000e+00   4.2574e-05   1.2449e+05
5.4000e+00   4.3778e-05   1.2335e+05
5.5000e+00   4.5252e-05   1.2154e+05
5.6000e+00   4.6564e-05   1.2026e+05
5.7000e+00   8.0922e-05   7.0438e+04
5.8000e+00   8.4292e-05   6.8808e+04
5.9000e+00   8.8304e-05   6.6815e+04
6.0000e+00   9.1530e-05   6.5552e+04
6.1000e+00   9.5084e-05   6.4154e+04
6.2000e+00   1.1083e-04   5.5943e+04
6.3000e+00   1.3160e-04   4.7872e+04
6.4000e+00   1.3710e-04   4.6681e+04
6.5000e+00   1.4396e-04   4.5151e+04
6.6000e+00   1.5606e-04   4.2291e+04
6.7000e+00   1.6492e-04   4.0626e+04
6.8000e+00   1.7744e-04   3.8323e+04
6.9000e+00   1.8760e-04   3.6780e+04
