  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739603.519472                   49

         MeasureMode                Bias1                Bias2
                   2                    8                   -8

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 324

        Bias        Current     Resistance
0.0000e+00   6.2673e-09   0.0000e+00
1.0000e-01   5.8188e-07   1.7186e+05
2.0000e-01   1.1649e-06   1.7169e+05
3.0000e-01   1.7483e-06   1.7160e+05
4.0000e-01   2.3397e-06   1.7096e+05
5.0000e-01   2.9361e-06   1.7029e+05
6.0000e-01   3.5441e-06   1.6930e+05
7.0000e-01   4.1531e-06   1.6855e+05
8.0000e-01   4.7767e-06   1.6748e+05
9.0000e-01   5.4018e-06   1.6661e+05
1.0000e+00   6.0364e-06   1.6566e+05
1.1000e+00   6.6763e-06   1.6476e+05
1.2000e+00   7.3308e-06   1.6369e+05
1.3000e+00   7.9940e-06   1.6262e+05
1.4000e+00   8.6500e-06   1.6185e+05
1.5000e+00   9.3212e-06   1.6092e+05
1.6000e+00   1.0013e-05   1.5979e+05
1.7000e+00   1.0691e-05   1.5901e+05
1.8000e+00   1.1384e-05   1.5812e+05
1.9000e+00   1.2088e-05   1.5718e+05
2.0000e+00   1.2810e-05   1.5613e+05
2.1000e+00   1.3540e-05   1.5510e+05
2.2000e+00   1.4272e-05   1.5415e+05
2.3000e+00   1.5016e-05   1.5317e+05
2.4000e+00   1.5762e-05   1.5226e+05
2.5000e+00   1.6532e-05   1.5122e+05
2.6000e+00   1.7336e-05   1.4998e+05
2.7000e+00   1.8106e-05   1.4912e+05
2.8000e+00   1.8930e-05   1.4791e+05
2.9000e+00   1.9752e-05   1.4682e+05
3.0000e+00   2.0548e-05   1.4600e+05
3.1000e+00   2.1366e-05   1.4509e+05
3.2000e+00   2.2186e-05   1.4424e+05
3.3000e+00   2.3048e-05   1.4318e+05
3.4000e+00   2.3928e-05   1.4209e+05
3.5000e+00   2.4818e-05   1.4103e+05
3.6000e+00   2.5732e-05   1.3990e+05
3.7000e+00   2.6642e-05   1.3888e+05
3.8000e+00   2.7596e-05   1.3770e+05
3.9000e+00   2.8482e-05   1.3693e+05
4.0000e+00   2.9460e-05   1.3578e+05
4.1000e+00   3.0388e-05   1.3492e+05
4.2000e+00   3.1420e-05   1.3367e+05
4.3000e+00   3.2414e-05   1.3266e+05
4.4000e+00   3.3468e-05   1.3147e+05
4.5000e+00   3.4558e-05   1.3022e+05
4.6000e+00   3.5508e-05   1.2955e+05
4.7000e+00   3.6546e-05   1.2861e+05
4.8000e+00   3.7614e-05   1.2761e+05
4.9000e+00   3.8800e-05   1.2629e+05
5.0000e+00   4.0026e-05   1.2492e+05
5.1000e+00   4.1152e-05   1.2393e+05
5.2000e+00   4.2388e-05   1.2268e+05
5.3000e+00   4.3698e-05   1.2129e+05
5.4000e+00   4.5032e-05   1.1991e+05
5.5000e+00   4.6358e-05   1.1864e+05
5.6000e+00   7.9900e-05   7.0088e+04
5.7000e+00   8.3626e-05   6.8161e+04
5.8000e+00   8.7932e-05   6.5960e+04
5.9000e+00   9.1508e-05   6.4475e+04
6.0000e+00   9.5284e-05   6.2970e+04
6.1000e+00   1.0109e-04   6.0345e+04
6.2000e+00   1.0566e-04   5.8680e+04
6.3000e+00   1.1072e-04   5.6902e+04
6.4000e+00   1.4920e-04   4.2895e+04
6.5000e+00   1.5548e-04   4.1806e+04
6.6000e+00   1.6300e-04   4.0491e+04
6.7000e+00   1.7168e-04   3.9026e+04
6.8000e+00   1.8022e-04   3.7732e+04
6.9000e+00   1.8906e-04   3.6496e+04
