  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739603.494017                    0

         MeasureMode                Bias1                Bias2
                   2                   20                  -20

                Step  Positive compliance  Negative compliance
                 0.2                0.001                0.001

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   1.2755e-08   0.0000e+00
2.0000e-01   3.0360e-06   6.5876e+04
4.0000e-01   6.0919e-06   6.5661e+04
6.0000e-01   9.1902e-06   6.5287e+04
8.0000e-01   1.2318e-05   6.4946e+04
1.0000e+00   1.5484e-05   6.4583e+04
1.2000e+00   1.8676e-05   6.4254e+04
1.4000e+00   2.1904e-05   6.3915e+04
1.6000e+00   2.5156e-05   6.3603e+04
1.8000e+00   2.8430e-05   6.3313e+04
2.0000e+00   3.1732e-05   6.3028e+04
2.2000e+00   3.5050e-05   6.2767e+04
2.4000e+00   3.8422e-05   6.2464e+04
2.6000e+00   4.1790e-05   6.2216e+04
2.8000e+00   4.5194e-05   6.1955e+04
3.0000e+00   4.8592e-05   6.1739e+04
3.2000e+00   5.2038e-05   6.1494e+04
3.4000e+00   5.5494e-05   6.1268e+04
3.6000e+00   5.8972e-05   6.1046e+04
3.8000e+00   6.2464e-05   6.0835e+04
4.0000e+00   6.5974e-05   6.0630e+04
4.2000e+00   6.9510e-05   6.0423e+04
4.4000e+00   7.3064e-05   6.0221e+04
4.6000e+00   7.6640e-05   6.0021e+04
4.8000e+00   8.0278e-05   5.9792e+04
5.0000e+00   8.3888e-05   5.9603e+04
5.2000e+00   8.7558e-05   5.9389e+04
5.4000e+00   9.1220e-05   5.9198e+04
5.6000e+00   9.4908e-05   5.9005e+04
5.8000e+00   9.8602e-05   5.8822e+04
6.0000e+00   1.0233e-04   5.8635e+04
6.2000e+00   1.0609e-04   5.8440e+04
6.4000e+00   1.0987e-04   5.8253e+04
6.6000e+00   1.1358e-04   5.8109e+04
6.8000e+00   1.1740e-04   5.7922e+04
7.0000e+00   1.2126e-04   5.7727e+04
7.2000e+00   1.2512e-04   5.7545e+04
7.4000e+00   1.2900e-04   5.7364e+04
7.6000e+00   1.3292e-04   5.7177e+04
7.8000e+00   1.3690e-04   5.6976e+04
8.0000e+00   1.4088e-04   5.6786e+04
8.2000e+00   1.4486e-04   5.6606e+04
8.4000e+00   1.4888e-04   5.6421e+04
8.6000e+00   1.5290e-04   5.6246e+04
8.8000e+00   1.5696e-04   5.6065e+04
9.0000e+00   1.6102e-04   5.5894e+04
9.2000e+00   1.6514e-04   5.5710e+04
9.4000e+00   1.6928e-04   5.5529e+04
9.6000e+00   1.7344e-04   5.5351e+04
9.8000e+00   1.7762e-04   5.5174e+04
1.0000e+01   1.8184e-04   5.4993e+04
1.0200e+01   1.8608e-04   5.4815e+04
1.0400e+01   1.9032e-04   5.4645e+04
1.0600e+01   1.9468e-04   5.4448e+04
1.0800e+01   1.9900e-04   5.4271e+04
1.1000e+01   2.0336e-04   5.4091e+04
1.1200e+01   2.0778e-04   5.3903e+04
1.1400e+01   2.1218e-04   5.3728e+04
1.1600e+01   2.1666e-04   5.3540e+04
1.1800e+01   2.2112e-04   5.3365e+04
1.2000e+01   2.2562e-04   5.3187e+04
1.2200e+01   2.3016e-04   5.3007e+04
1.2400e+01   2.3478e-04   5.2815e+04
1.2600e+01   2.3942e-04   5.2627e+04
1.2800e+01   2.4412e-04   5.2433e+04
1.3000e+01   2.4876e-04   5.2259e+04
1.3200e+01   2.5352e-04   5.2067e+04
1.3400e+01   2.5830e-04   5.1878e+04
1.3600e+01   2.6314e-04   5.1684e+04
1.3800e+01   2.6802e-04   5.1489e+04
1.4000e+01   2.7288e-04   5.1305e+04
1.4200e+01   2.7784e-04   5.1109e+04
1.4400e+01   2.8278e-04   5.0923e+04
1.4600e+01   2.8784e-04   5.0723e+04
1.4800e+01   2.9290e-04   5.0529e+04
1.5000e+01   2.9804e-04   5.0329e+04
1.5200e+01   3.0326e-04   5.0122e+04
1.5400e+01   3.0848e-04   4.9922e+04
1.5600e+01   3.1380e-04   4.9713e+04
1.5800e+01   3.1916e-04   4.9505e+04
1.6000e+01   3.2452e-04   4.9304e+04
1.6200e+01   3.2998e-04   4.9094e+04
1.6400e+01   3.3548e-04   4.8885e+04
1.6600e+01   3.4104e-04   4.8675e+04
1.6800e+01   3.4668e-04   4.8460e+04
1.7000e+01   3.5238e-04   4.8243e+04
1.7200e+01   3.5808e-04   4.8034e+04
1.7400e+01   3.6390e-04   4.7815e+04
1.7600e+01   3.7066e-04   4.7483e+04
1.7800e+01   3.7670e-04   4.7252e+04
1.8000e+01   3.8270e-04   4.7034e+04
1.8200e+01   3.8882e-04   4.6808e+04
1.8400e+01   3.9490e-04   4.6594e+04
1.8600e+01   4.0118e-04   4.6363e+04
1.8800e+01   4.0740e-04   4.6146e+04
1.9000e+01   4.1378e-04   4.5918e+04
1.9200e+01   4.2036e-04   4.5675e+04
1.9400e+01   4.2714e-04   4.5418e+04
1.9600e+01   4.3406e-04   4.5155e+04
1.9800e+01   4.5702e-04   4.3324e+04
2.0000e+01   4.6552e-04   4.2963e+04
2.0000e+01   4.6586e-04   4.2931e+04
1.9800e+01   4.5820e-04   4.3213e+04
1.9600e+01   4.5058e-04   4.3499e+04
1.9400e+01   4.4316e-04   4.3777e+04
1.9200e+01   4.3588e-04   4.4049e+04
1.9000e+01   4.2868e-04   4.4322e+04
1.8800e+01   4.2154e-04   4.4598e+04
1.8600e+01   4.1454e-04   4.4869e+04
1.8400e+01   4.0774e-04   4.5127e+04
1.8200e+01   4.0096e-04   4.5391e+04
1.8000e+01   3.9426e-04   4.5655e+04
1.7800e+01   3.8762e-04   4.5921e+04
1.7600e+01   3.8118e-04   4.6172e+04
1.7400e+01   3.7482e-04   4.6422e+04
1.7200e+01   3.6852e-04   4.6673e+04
1.7000e+01   3.6228e-04   4.6925e+04
1.6800e+01   3.5620e-04   4.7165e+04
1.6600e+01   3.5018e-04   4.7404e+04
1.6400e+01   3.4418e-04   4.7649e+04
1.6200e+01   3.3824e-04   4.7895e+04
1.6000e+01   3.3250e-04   4.8120e+04
1.5800e+01   3.2674e-04   4.8356e+04
1.5600e+01   3.2104e-04   4.8592e+04
1.5400e+01   3.1542e-04   4.8824e+04
1.5200e+01   3.0986e-04   4.9054e+04
1.5000e+01   3.0394e-04   4.9352e+04
1.4800e+01   2.9814e-04   4.9641e+04
1.4600e+01   2.9280e-04   4.9863e+04
1.4400e+01   2.8748e-04   5.0090e+04
1.4200e+01   2.8226e-04   5.0308e+04
1.4000e+01   2.7704e-04   5.0534e+04
1.3800e+01   2.7192e-04   5.0750e+04
1.3600e+01   2.6682e-04   5.0971e+04
1.3400e+01   2.6180e-04   5.1184e+04
1.3200e+01   2.5686e-04   5.1390e+04
1.3000e+01   2.5186e-04   5.1616e+04
1.2800e+01   2.4696e-04   5.1830e+04
1.2600e+01   2.4212e-04   5.2040e+04
1.2400e+01   2.3732e-04   5.2250e+04
1.2200e+01   2.3260e-04   5.2451e+04
1.2000e+01   2.2788e-04   5.2659e+04
1.1800e+01   2.2318e-04   5.2872e+04
1.1600e+01   2.1856e-04   5.3075e+04
1.1400e+01   2.1398e-04   5.3276e+04
1.1200e+01   2.0942e-04   5.3481e+04
1.1000e+01   2.0486e-04   5.3695e+04
1.0800e+01   2.0038e-04   5.3898e+04
1.0600e+01   1.9596e-04   5.4093e+04
1.0400e+01   1.9154e-04   5.4297e+04
1.0200e+01   1.8716e-04   5.4499e+04
1.0000e+01   1.8280e-04   5.4705e+04
9.8000e+00   1.7854e-04   5.4890e+04
9.6000e+00   1.7424e-04   5.5096e+04
9.4000e+00   1.6998e-04   5.5301e+04
