  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739603.492688                    0

         MeasureMode                Bias1                Bias2
                   2                    5                   -5

                Step  Positive compliance  Negative compliance
                 0.2                0.001                0.001

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   1.7103e-09   0.0000e+00
2.0000e-01   3.0888e-06   6.4750e+04
4.0000e-01   6.2238e-06   6.4269e+04
6.0000e-01   9.4154e-06   6.3725e+04
8.0000e-01   1.2640e-05   6.3291e+04
1.0000e+00   1.5908e-05   6.2861e+04
1.2000e+00   1.9198e-05   6.2507e+04
1.4000e+00   2.2528e-05   6.2145e+04
1.6000e+00   2.5892e-05   6.1795e+04
1.8000e+00   2.9284e-05   6.1467e+04
2.0000e+00   3.2682e-05   6.1196e+04
2.2000e+00   3.6106e-05   6.0932e+04
2.4000e+00   3.9574e-05   6.0646e+04
2.6000e+00   4.3060e-05   6.0381e+04
2.8000e+00   4.6578e-05   6.0114e+04
3.0000e+00   5.0088e-05   5.9895e+04
3.2000e+00   5.3654e-05   5.9641e+04
3.4000e+00   5.7200e-05   5.9441e+04
3.6000e+00   6.0808e-05   5.9203e+04
3.8000e+00   6.4412e-05   5.8995e+04
4.0000e+00   6.8058e-05   5.8773e+04
4.2000e+00   7.1712e-05   5.8568e+04
4.4000e+00   7.5386e-05   5.8366e+04
4.6000e+00   7.9120e-05   5.8140e+04
4.8000e+00   8.2838e-05   5.7944e+04
5.0000e+00   8.6594e-05   5.7741e+04
5.0000e+00   8.6570e-05   5.7757e+04
4.8000e+00   8.2820e-05   5.7957e+04
4.6000e+00   7.9074e-05   5.8173e+04
4.4000e+00   7.5348e-05   5.8396e+04
4.2000e+00   7.1670e-05   5.8602e+04
4.0000e+00   6.7992e-05   5.8830e+04
3.8000e+00   6.4336e-05   5.9065e+04
3.6000e+00   6.0726e-05   5.9283e+04
3.4000e+00   5.7128e-05   5.9515e+04
3.2000e+00   5.3560e-05   5.9746e+04
3.0000e+00   5.0014e-05   5.9983e+04
2.8000e+00   4.6492e-05   6.0225e+04
2.6000e+00   4.3006e-05   6.0457e+04
2.4000e+00   3.9526e-05   6.0720e+04
2.2000e+00   3.6088e-05   6.0962e+04
2.0000e+00   3.2650e-05   6.1256e+04
1.8000e+00   2.9242e-05   6.1555e+04
1.6000e+00   2.5874e-05   6.1838e+04
1.4000e+00   2.2524e-05   6.2156e+04
1.2000e+00   1.9198e-05   6.2507e+04
1.0000e+00   1.5894e-05   6.2917e+04
8.0000e-01   1.2628e-05   6.3351e+04
6.0000e-01   9.3938e-06   6.3872e+04
4.0000e-01   6.2120e-06   6.4392e+04
2.0000e-01   3.0823e-06   6.4887e+04
0.0000e+00   7.6176e-10   0.0000e+00
0.0000e+00   1.8016e-09   0.0000e+00
-2.0000e-01   -3.0887e-06   6.4752e+04
-4.0000e-01   -6.2255e-06   6.4252e+04
-6.0000e-01   -9.4171e-06   6.3714e+04
-8.0000e-01   -1.2650e-05   6.3241e+04
-1.0000e+00   -1.5916e-05   6.2830e+04
-1.2000e+00   -1.9216e-05   6.2448e+04
-1.4000e+00   -2.2546e-05   6.2095e+04
-1.6000e+00   -2.5890e-05   6.1800e+04
-1.8000e+00   -2.9274e-05   6.1488e+04
-2.0000e+00   -3.2686e-05   6.1188e+04
-2.2000e+00   -3.6118e-05   6.0911e+04
-2.4000e+00   -3.9566e-05   6.0658e+04
-2.6000e+00   -4.3068e-05   6.0370e+04
-2.8000e+00   -4.6578e-05   6.0114e+04
-3.0000e+00   -5.0106e-05   5.9873e+04
-3.2000e+00   -5.3638e-05   5.9659e+04
-3.4000e+00   -5.7202e-05   5.9438e+04
-3.6000e+00   -6.0812e-05   5.9199e+04
-3.8000e+00   -6.4414e-05   5.8993e+04
-4.0000e+00   -6.8026e-05   5.8801e+04
-4.2000e+00   -7.1658e-05   5.8612e+04
-4.4000e+00   -7.5324e-05   5.8414e+04
-4.6000e+00   -7.9048e-05   5.8192e+04
-4.8000e+00   -8.2778e-05   5.7986e+04
-5.0000e+00   -8.6458e-05   5.7832e+04
-5.0000e+00   -8.6484e-05   5.7814e+04
-4.8000e+00   -8.2690e-05   5.8048e+04
-4.6000e+00   -7.8974e-05   5.8247e+04
-4.4000e+00   -7.5244e-05   5.8476e+04
-4.2000e+00   -7.1584e-05   5.8672e+04
-4.0000e+00   -6.7924e-05   5.8889e+04
-3.8000e+00   -6.4298e-05   5.9100e+04
-3.6000e+00   -6.0688e-05   5.9320e+04
-3.4000e+00   -5.7088e-05   5.9557e+04
-3.2000e+00   -5.3516e-05   5.9795e+04
-3.0000e+00   -4.9964e-05   6.0043e+04
-2.8000e+00   -4.6446e-05   6.0285e+04
-2.6000e+00   -4.2966e-05   6.0513e+04
-2.4000e+00   -3.9484e-05   6.0784e+04
-2.2000e+00   -3.6040e-05   6.1043e+04
-2.0000e+00   -3.2614e-05   6.1323e+04
-1.8000e+00   -2.9218e-05   6.1606e+04
-1.6000e+00   -2.5846e-05   6.1905e+04
-1.4000e+00   -2.2502e-05   6.2217e+04
-1.2000e+00   -1.9178e-05   6.2572e+04
-1.0000e+00   -1.5892e-05   6.2925e+04
-8.0000e-01   -1.2632e-05   6.3331e+04
-6.0000e-01   -9.4002e-06   6.3828e+04
-4.0000e-01   -6.2189e-06   6.4320e+04
-2.0000e-01   -3.0823e-06   6.4887e+04
0.0000e+00   3.3394e-09   0.0000e+00
