  Measurement Number     Measurement type
                  24                DC IV

      Measurement ID             SeriesID
       739603.491685                   82

         MeasureMode                Bias1                Bias2
                   2                   18                  -18

                Step  Positive compliance  Negative compliance
                 0.2                0.001                0.001

  RealMeasuredPoints
                 364

        Bias        Current     Resistance
0.0000e+00   1.7235e-08   0.0000e+00
2.0000e-01   4.5290e-06   4.4160e+04
4.0000e-01   9.0541e-06   4.4179e+04
6.0000e-01   1.3598e-05   4.4124e+04
8.0000e-01   1.8162e-05   4.4048e+04
1.0000e+00   2.2746e-05   4.3964e+04
1.2000e+00   2.7354e-05   4.3869e+04
1.4000e+00   3.1978e-05   4.3780e+04
1.6000e+00   3.6618e-05   4.3694e+04
1.8000e+00   4.1286e-05   4.3598e+04
2.0000e+00   4.5986e-05   4.3491e+04
2.2000e+00   5.0698e-05   4.3394e+04
2.4000e+00   5.5440e-05   4.3290e+04
2.6000e+00   6.0190e-05   4.3197e+04
2.8000e+00   6.4970e-05   4.3097e+04
3.0000e+00   6.9786e-05   4.2989e+04
3.2000e+00   7.4604e-05   4.2893e+04
3.4000e+00   7.9448e-05   4.2795e+04
3.6000e+00   8.4330e-05   4.2689e+04
3.8000e+00   8.9230e-05   4.2587e+04
4.0000e+00   9.4158e-05   4.2482e+04
4.2000e+00   9.9098e-05   4.2382e+04
4.4000e+00   1.0406e-04   4.2284e+04
4.6000e+00   1.0904e-04   4.2186e+04
4.8000e+00   1.1404e-04   4.2090e+04
5.0000e+00   1.1906e-04   4.1996e+04
5.2000e+00   1.2412e-04   4.1895e+04
5.4000e+00   1.2922e-04   4.1789e+04
5.6000e+00   1.3436e-04   4.1679e+04
5.8000e+00   1.3946e-04   4.1589e+04
6.0000e+00   1.4462e-04   4.1488e+04
6.2000e+00   1.4984e-04   4.1377e+04
6.4000e+00   1.5506e-04   4.1274e+04
6.6000e+00   1.6034e-04   4.1163e+04
6.8000e+00   1.6560e-04   4.1063e+04
7.0000e+00   1.7094e-04   4.0950e+04
7.2000e+00   1.7626e-04   4.0849e+04
7.4000e+00   1.8164e-04   4.0740e+04
7.6000e+00   1.8706e-04   4.0629e+04
7.8000e+00   1.9250e-04   4.0519e+04
8.0000e+00   1.9792e-04   4.0420e+04
8.2000e+00   2.0344e-04   4.0307e+04
8.4000e+00   2.0900e-04   4.0191e+04
8.6000e+00   2.1458e-04   4.0078e+04
8.8000e+00   2.2018e-04   3.9967e+04
9.0000e+00   2.2582e-04   3.9855e+04
9.2000e+00   2.3150e-04   3.9741e+04
9.4000e+00   2.3720e-04   3.9629e+04
9.6000e+00   2.4300e-04   3.9506e+04
9.8000e+00   2.4876e-04   3.9395e+04
1.0000e+01   2.5460e-04   3.9277e+04
1.0200e+01   2.6042e-04   3.9167e+04
1.0400e+01   2.6634e-04   3.9048e+04
1.0600e+01   2.7232e-04   3.8925e+04
1.0800e+01   2.7826e-04   3.8813e+04
1.1000e+01   2.8430e-04   3.8692e+04
1.1200e+01   2.9038e-04   3.8570e+04
1.1400e+01   2.9650e-04   3.8449e+04
1.1600e+01   3.0266e-04   3.8327e+04
1.1800e+01   3.0888e-04   3.8203e+04
1.2000e+01   3.1516e-04   3.8076e+04
1.2200e+01   3.2144e-04   3.7954e+04
1.2400e+01   3.2778e-04   3.7830e+04
1.2600e+01   3.3416e-04   3.7706e+04
1.2800e+01   3.4064e-04   3.7576e+04
1.3000e+01   3.4714e-04   3.7449e+04
1.3200e+01   3.5372e-04   3.7318e+04
1.3400e+01   3.6034e-04   3.7187e+04
1.3600e+01   3.6700e-04   3.7057e+04
1.3800e+01   3.7374e-04   3.6924e+04
1.4000e+01   3.8050e-04   3.6794e+04
1.4200e+01   3.8738e-04   3.6657e+04
1.4400e+01   3.9428e-04   3.6522e+04
1.4600e+01   4.0126e-04   3.6385e+04
1.4800e+01   4.0842e-04   3.6237e+04
1.5000e+01   4.1636e-04   3.6027e+04
1.5200e+01   4.2368e-04   3.5876e+04
1.5400e+01   4.3102e-04   3.5729e+04
1.5600e+01   4.3844e-04   3.5581e+04
1.5800e+01   4.4594e-04   3.5431e+04
1.6000e+01   4.5368e-04   3.5267e+04
1.6200e+01   4.6166e-04   3.5091e+04
